station_code,station_name,lat,lon,municipality_sk,municipality_name,province_sk,number_of_monuments
ES,Enschede,52.222499847412,6.8899998664856,02e74f10e0327ad868d138f2b4fdd6f0,Enschede,a87ff679a2f3e71d9181a67b7542122c,151
VRY,Venray,51.526568099007,6.0141777992248,077e29b11be80ab57e1a2ecabb7da330,Venray,c20ad4d76fe97759aa27a0c99bff6710,100
GN,Groningen,53.210556030273,6.5647220611572,c4ca4238a0b923820dcc509a6f75849b,Groningen,c4ca4238a0b923820dcc509a6f75849b,844
KRD,Kerkrade Centrum,50.861667633057,6.0574998855591,555d6702c950ecb729a966504af0a635,Kerkrade,c20ad4d76fe97759aa27a0c99bff6710,81
RHN,Rhenen,51.958610534668,5.5783333778381,812b4ba287f5ee0bc9d43bbf5bbe87fb,Rhenen,8f14e45fceea167a5a36dedd4bea2543,61
TB,Tilburg,51.560554504395,5.0836110115051,115f89503138416a242f40fb7d7f338e,Tilburg,6512bd43d9caa6e02c990b0a82652dca,338
BET,Best,51.509998321533,5.3891668319702,a597e50502f5ff68e3e25b9114205d4a,Best,6512bd43d9caa6e02c990b0a82652dca,25
APD,Apeldoorn,52.209167480469,5.9702777862549,f7177163c833dff4b38fc8d2872f1ec6,Apeldoorn,1679091c5a880faf6fb5e6087eb1b2dc,211
SGN,Schagen,52.784442901611,4.8052778244019,65ded5353c5ee48d0b7d48c591b8f430,Schagen,c9f0f895fb98ab9159f51fd0297e236d,99
EST,Elst,51.916942596435,5.8550000190735,53c3bce66e43be4f209556518c2fcb54,Overbetuwe,1679091c5a880faf6fb5e6087eb1b2dc,111
KTR,Kesteren,51.9313869,5.5833465,49182f81e6a13cf5eaa496d51fea6406,Neder-Betuwe,1679091c5a880faf6fb5e6087eb1b2dc,48
FWD,Feanwâlden,53.2351834,5.9886615,b2eb7349035754953b57a32e2841bda5,Dantumadiel,c81e728d9d4c2f636f067f89cc14862c,37
NSCH,Bad Nieuweschans,53.1844,7.19937,eddea82ad2755b24c4e168c5fc2ebd40,Oldambt,c4ca4238a0b923820dcc509a6f75849b,212
SDA,Scheemda,53.1655362,6.9777775,eddea82ad2755b24c4e168c5fc2ebd40,Oldambt,c4ca4238a0b923820dcc509a6f75849b,212
ODB,Oudenbosch,51.587776184082,4.5333333015442,d6baf65e0b240ce177cf70da146c8dc8,Halderberge,6512bd43d9caa6e02c990b0a82652dca,67
HDG,Hurdegaryp,53.2187783,5.934543,cfecdb276f634854f3ef915e2e980c31,Tytsjerksteradiel,c81e728d9d4c2f636f067f89cc14862c,157
LP,Loppersum,53.3347145,6.7472625,819f46e52c25763a55cc642422644317,Eemsdelta,c4ca4238a0b923820dcc509a6f75849b,397
CK,Cuijk,51.726682587905,5.8742952346802,40008b9a5380fcacce3976bf7c08af5b,Land van Cuijk,6512bd43d9caa6e02c990b0a82652dca,497
VLB,Vierlingsbeek,51.59193,5.99714,40008b9a5380fcacce3976bf7c08af5b,Land van Cuijk,6512bd43d9caa6e02c990b0a82652dca,497
KZ,Koog aan de Zaan,52.458610534668,4.8055553436279,013d407166ec4fa56eb1e1f8cbe183b9,Zaanstad,c9f0f895fb98ab9159f51fd0297e236d,275
ZD,Zaandam,52.438888549805,4.8136110305786,013d407166ec4fa56eb1e1f8cbe183b9,Zaanstad,c9f0f895fb98ab9159f51fd0297e236d,275
HGZ,Hoogezand-Sappemeer,53.159818131676,6.7707538604736,b83aac23b9528732c23cc7352950e880,Midden-Groningen,c4ca4238a0b923820dcc509a6f75849b,184
IJT,IJlst,53.0146614,5.6160801,9dfcd5e558dfa04aaf37f137a1d9d3e5,Súdwest-Fryslân,c81e728d9d4c2f636f067f89cc14862c,733
KMW,Koudum-Molkwerum,52.9028197,5.4106913,9dfcd5e558dfa04aaf37f137a1d9d3e5,Súdwest-Fryslân,c81e728d9d4c2f636f067f89cc14862c,733
SK,Sneek,53.0328688,5.6523969,9dfcd5e558dfa04aaf37f137a1d9d3e5,Súdwest-Fryslân,c81e728d9d4c2f636f067f89cc14862c,733
